velocity_1h,velocity_24h,total_load_mtd_inr,device_count_30d,exchange_frequency,avg_txn_amount,velocity_ratio_1h_24h,amount_deviation,load_utilization_pct,device_risk_score,hours_since_last_txn,is_fraud
2,10,2740.2148977615193,2,1,3612.672234000803,0.2,0.40151297673049596,0.2740214897761519,0.5,22.383186079636523,0
1,12,4594.303581832282,1,5,4538.997935069712,0.08333333333333333,-0.09329914609330589,0.45943035818322825,0.0,0.565564333800107,0
2,4,3006.200453891193,2,3,953.3823638500637,0.5,-0.19002318848305594,0.3006200453891193,0.5,8.210405460689184,0
2,9,979.8406066645766,2,5,4483.542932266993,0.2222222222222222,0.3313142633989475,0.09798406066645766,0.5,3.5071951015251464,0
0,12,4042.1684347162,1,7,1292.018762808654,0.0,-0.14894111113012778,0.40421684347162,0.0,10.493142726811888,0
6,8,2102.716480199553,1,2,3608.2300636356204,0.75,-0.08322695831643406,0.21027164801995532,0.0,4.557385768049194,0
2,9,6147.956664618993,1,5,2698.5968180577966,0.2222222222222222,0.054212664370856034,0.6147956664618993,0.0,1.878205376381213,0
3,7,4860.326512337258,2,8,4764.492498856868,0.42857142857142855,0.1795244677573874,0.48603265123372574,0.5,3.9119083897180604,0
0,10,1561.2515785551846,1,4,564.2401522752521,0.0,0.42845066081638067,0.15612515785551845,0.0,0.5,0
1,12,4788.063779534606,2,6,4607.438834486969,0.08333333333333333,0.28441853293314384,0.47880637795346054,0.5,0.8712200080561364,0
2,13,3564.1911607391708,1,8,1236.493452331133,0.15384615384615385,0.07048295757440665,0.3564191160739171,0.0,32.05936789810885,0
2,16,5312.101866179712,1,3,3375.808791263416,0.125,0.3656521652541314,0.5312101866179711,0.0,17.506160625238866,0
1,7,4065.066450719575,1,7,3153.893223933457,0.14285714285714285,0.06194220164392211,0.4065066450719575,0.0,2.1937720705406765,0
2,5,5859.531584129812,1,4,1231.5099438541051,0.4,0.20333269695286754,0.5859531584129811,0.0,24.943210255571774,0
2,13,5928.859280052132,2,4,3076.5457704659434,0.15384615384615385,0.42760756309143005,0.5928859280052132,0.5,1.7384661104598524,0
2,9,6941.3154078025755,2,10,2236.7287674721256,0.2222222222222222,-0.057951583818081326,0.6941315407802575,0.5,4.538227044507631,0
4,9,5578.471262248583,1,3,4519.585861989553,0.4444444444444444,0.09482796094663659,0.5578471262248583,0.0,5.138062650297032,0
7,19,9928.521510773578,4,19,7681.857938518683,0.3684210526315789,2.199021239313367,0.9928521510773578,1.0,2.148476196019852,1
4,12,5235.751207306924,1,5,2626.016498218243,0.3333333333333333,0.27481249852428374,0.5235751207306923,0.0,1.70451611823443,0
20,71,7006.927994223571,2,18,182.35667348411465,0.28169014084507044,-0.5447716806498143,0.7006927994223571,0.5,0.938602316683607,1
4,27,9368.667443697715,2,17,5926.089903040254,0.14814814814814814,1.9674899343801606,0.9368667443697716,0.5,0.615492962270308,1
3,10,5711.537704730557,2,4,2387.0770581095285,0.3,0.1070640882366028,0.5711537704730557,0.5,0.5,0
2,11,5062.490553782644,1,6,528.020442720467,0.18181818181818182,-0.1041510925127328,0.5062490553782645,0.0,3.8997543289499643,0
15,14,8476.856667755632,3,14,12734.442895820786,1.0714285714285714,2.0146857672784853,0.8476856667755632,1.0,0.2732959704405409,1
1,6,3964.923912355466,2,6,2348.8987712118355,0.16666666666666666,-0.024506436831947975,0.39649239123554664,0.5,5.227480876538896,0
4,19,9022.152804049669,3,17,7443.254142103321,0.21052631578947367,1.7074214032399753,0.9022152804049669,1.0,0.1,1
4,14,6395.441560949049,1,8,3336.092622788566,0.2857142857142857,0.18092561138323693,0.6395441560949049,0.0,1.636365371420304,0
16,56,8234.123881873817,3,22,330.7173354561801,0.2857142857142857,-0.7884983126716878,0.8234123881873816,1.0,1.333701243325467,1
2,9,3181.3379553672708,1,4,2377.5246840436307,0.2222222222222222,-0.23667371408652044,0.31813379553672705,0.0,2.075539016115285,0
6,22,5178.472905569287,8,19,2146.587770745222,0.2727272727272727,-0.10613230140232349,0.5178472905569287,1.0,1.8108685349855091,1
4,12,873.6332243942604,1,5,842.9887643211915,0.3333333333333333,0.22931642917751,0.08736332243942604,0.0,1.2693883182598709,0
2,11,5947.408245287968,2,7,2150.1078549960753,0.18181818181818182,0.3467900779946412,0.5947408245287968,0.5,36.141873171296574,0
0,10,1272.5809216471353,1,7,2728.897151802299,0.0,-0.013817829065608633,0.12725809216471354,0.0,6.176691383172492,0
2,8,677.3113636312639,1,3,867.7101174960573,0.25,0.2790730134291876,0.06773113636312639,0.0,0.5,0
21,74,7840.786965257926,2,28,311.6500110031962,0.28378378378378377,-0.6929037024257585,0.7840786965257925,0.5,0.16697184064735954,1
3,12,5602.653884355817,1,2,4081.811692950541,0.25,-0.12297152251319188,0.5602653884355817,0.0,0.5,0
3,13,555.784996690068,1,4,2756.3574332314683,0.23076923076923078,0.45405533392718384,0.055578499669006805,0.0,3.033919981323752,0
2,8,4224.238753373675,1,4,917.382947111859,0.25,0.3761959648848168,0.42242387533736747,0.0,0.8855469352738916,0
3,6,554.9018161472212,1,4,2618.55397820379,0.5,0.16663324454769246,0.05549018161472212,0.0,4.000754335529806,0
2,12,1091.4984365541682,1,2,2694.531139108023,0.16666666666666666,-0.18206392037791763,0.10914984365541681,0.0,0.5279998998904074,0
1,13,3932.107050876491,1,5,1596.2731314920597,0.07692307692307693,-0.18714522780707588,0.3932107050876491,0.0,3.527277417396719,0
0,16,1421.428555311153,2,5,3940.274491027513,0.0,-0.19668937831360206,0.1421428555311153,0.5,7.702371801868368,0
15,68,9250.000865772083,3,15,152.5671620807747,0.22058823529411764,-0.7713811089125615,0.9250000865772082,1.0,0.10623712017881629,1
3,6,6412.660517383548,1,7,4187.909911334677,0.5,0.0626034085308172,0.6412660517383548,0.0,0.6321819315488774,0
12,20,7733.977805634753,2,14,8431.222743971004,0.6,2.655144064995657,0.7733977805634753,0.5,1.0,1
2,7,1275.5799568688735,1,2,947.9379132972878,0.2857142857142857,-0.09490464387774525,0.12755799568688736,0.0,7.351073232033713,0
2,9,2271.9116402802024,1,9,3504.673873289756,0.2222222222222222,0.1726585932381025,0.22719116402802023,0.0,3.960633534401912,0
2,6,1632.50508916883,1,11,4116.786103817682,0.3333333333333333,0.11848178049590735,0.163250508916883,0.0,23.876173116353748,0
1,9,4701.699735592001,2,1,2908.537713921411,0.1111111111111111,0.40488710577793513,0.4701699735592001,0.5,1.6833505925604586,0
